ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
76,Chethan Gowda (BJP),17029,35389,General (Women),0.64,Gayithri Nagar,226,"['Gayithri Nagar', ' Sriramapuram North']",980,Malleshwaram,18360
162,Lalitha.H.S (BJP),16704,34912,General (Women),1.77,Girinagar,125,"['Girinagar 1st and 2nd phases', ' Writers colony', ' Dasarahalli (P)', ' Nagendra block', ' Srinivasanagar (P)', ' Banasankari 3rd Stage - 3rd and 5th blocks', ' Hosakerehalli Layout']",474,Basavanagudi,18208
194,S.K.Pushpa (INC),10124,21526,Backward Category B,6.49,Gottigere,891,"[u'JP Nagar 8th Phase', u' Brookes Heaven Layout', u' Lakshman Layout', u' Royal Country Layout', u' JP Nagar 8th Phase 2nd Block', u' Surbhi Nagar', u' SATG\u2019s Layout', u' Nayak Layout', u' Pavamana Nagar', u' Rajadhadri Layout', u' Kotanur Dinne', u' Venkateshwara Layout', u' Bhagya Nagar', u' IDBI Layout', u' Meenakshi Layout', u' Raghavendra Swamy Layout', u' Bora Layout', u' Gundappa Layout', u' Vidya Sagar Layout', u' Royal Heritage Layout', u' Weavers Colony', u' Gottigere', u' Pillaganahalli']",3487,Bangalore South,11402
104,Mohan Kumar (BJP),12208,25773,Backward Category A,0.77,Govindaraja Nagar,274,"['Prashanth Nagar', ' Corporation Colony', ' BMP Colony', ' Govindaraja Nagar', ' Magadi Chord road Layout', ' Thimmenahalli', ' CHBS Layout', ' Binni Layout', ' Vijaya Nagar 1st Stage']",2278,Govindrajnagar,13565
171,Mohammed Rizwan Nawab (INC),16989,35828,General,0.68,Gurappanapalya,87,"['Bismilla Nagar', ' Tavarekere', ' Gurappanapalya', ' Maruthi HBS Layout', ' KEB Colony']",950,Jayanagar,18839
84,H.A.Srinivas (INC),12392,25915,Backward Category B,12.68,Hagadur,211,"['Siddapura', ' Nallurhalli', ' Nallurhalli Kere', ' Dodsworth Layout', ' Whitefield (P)', ' ECC Layout', ' Hagadur', ' Ramagondanahalli', ' Narayanapura', ' Kodi', ' Vijayanagar', ' Gandhipuram', ' Vinayaka Layout', ' Sathya sai layout', ' D Souja layout', ' Byrappa layout', ' Hagadur colony', ' Vinayaka nagar', ' Immadahalli', ' Nagondahalli']",3664,Mahadevpura,13523
87,Siddalingaiah (BJP),15472,33066,General,6.8,HAL Airport,464,"['Nellurupuram', ' Vimanapura', ' HAL Layout', ' Islampur', ' Annasandrapalya', ' Krishna nagar', ' Vinayak nagar', ' Ramesh nagar', ' HAL Airport']",5487,K R Puram,17594
90,Udayakumar .R (INC),15365,35891,Scheduled Caste,1.68,Halsoor,866,"['Halsoor', ' Gupta Layout', ' Halsoor lake', ' Sivan chetty garden spot']",6474,Shivajinagar,20526
133,R.Chandrashekaraiah (BJP),14639,30355,General,1.11,Hampi Nagar,414,"['Hosahalli Extension', ' RPC Layout', ' Vijay Nagar 2nd Stage', ' Maruthi Nagar', ' Kavika Layout']",3502,Vijayanagar,15716
155,K.Chandrashekar (INC),16928,35065,General,0.99,Hanumanth Nagar,290,"['Brindavana Nagar', ' Gavipuram extension', ' Gavipuram', ' Hanumath Nagar (P)', ' Deer Park', ' Kempambudhi Kere']",857,Basavanagudi,18137
